rank,name,pubkey,state,unmet_rate_pct,unmet_epochs_count,evaluated_epochs,missing_epochs,not_bonus_rate_pct,bonus,baseline,none,none_high_third_party_stake,unmet_epoch_list,window
1,Aursen,AurseT3W3tk1dATBWAXtWR6oubBgECqintfcvP74teU3,Approved,73.5,25,34,30,73.5,9,0,25,0,1007 1006 1005 1004 1003 1002 1001 1000 999 998 997 996 995 994 993 992 991 990 989 988 987 986 985 984 983,944-1007
2,Syndica,SyndicAgdEphcy5xhAKZAomTYhcF8xhC7za2UD9xeug,Approved,68.8,44,64,0,68.8,20,0,44,0,1007 1006 1005 1004 1003 1002 1001 1000 999 998 997 996 995 994 993 992 991 990 989 988 987 986 982 981 980 979 978 977 976 975 974 973 972 971 970 969 959 958 957 956 955 954 953 952,944-1007
3,,6c6RrC9TWNgiVXnbZ6hehNuhyh81pZK1yAj5w2nXZTwi,Approved,45.3,29,64,0,45.3,35,0,29,0,1007 1006 1005 1004 1003 1002 1001 1000 999 998 997 996 995 994 993 992 991 990 989 988 987 986 985 984 977 976 975 957 956,944-1007
4,,PuRposE4utktenW49N8DCtVzdVEwYrmsrroboEUram4,Approved,43.1,25,58,6,43.1,33,0,25,0,997 996 994 993 992 991 990 983 982 981 980 979 978 977 976 975 974 973 972 971 970 969 968 967 966,944-1007
5,Project 0 Meridian,mrgn4sJJu5GBa5wbKyjuASzhyCifvcedGoLtpKjB3Wf,Approved,42.2,27,64,0,42.2,37,0,27,0,1005 1004 1003 1002 1001 1000 999 998 997 996 995 977 976 975 974 973 972 971 970 969 968 967 966 965 964 963 944,944-1007
6,,SaV6UWBaE8M3kwMBfAhQ6Tmvd2qdJRm94NTwLqtoyGd,Approved,40.0,24,60,4,40.0,36,0,24,0,1003 1002 1001 1000 999 998 997 996 995 994 993 992 991 990 989 988 987 986 976 975 953 950 949 948,944-1007
7,,SoLiDJGk4WkdinyLiRWjkFbgLUhjL3idGJK8H1rUWqH,Approved,36.4,12,33,31,36.4,21,0,12,0,976 975 974 973 972 971 970 969 968 967 965 964,944-1007
8,MX Validator,mXv18ov8qCiQGs3ieoen981LdgZzYJjJak6reK6fpNC,Approved,32.8,21,64,0,32.8,43,0,21,0,1007 1006 1005 1004 1003 1002 1001 1000 999 998 997 987 986 980 979 978 977 976 975 974 973,944-1007
9,,H9METtoxNp2PhcDNxXwqpzBarJw9zJezhzdDEFgBqv8w,Approved,31.4,11,35,29,31.4,24,0,11,0,978 977 976 975 974 973 972 971 970 969 968,944-1007
10,Udder Chaos 🐄,ChaossRPGKnsVhX1GfPC78yq5Sqju4cMThcAsKZNz5d6,Approved,26.6,17,64,0,26.6,47,0,17,0,1007 998 997 996 987 986 981 980 979 978 977 976 975 974 973 954 953,944-1007
11,Bubbles,H9ENbtmy2tWFtAJNmpC8xQtbcr1NTp4FXLdphRaG8L2T,Approved,23.4,15,64,0,23.4,49,0,15,0,1001 1000 999 998 997 996 995 987 986 985 979 977 976 975 974,944-1007
